Компания,Категория,Название товара,Цена,Скидочная Цена,Объем,Единицы Измерения
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,"КИСЛОРОД газообразный технический ГОСТ 5583-78, 1сорт",45.0,,,м3
АЛТАЙСТРОЙДЕТАЛЬ,Медицинские газы,Кислород газообразный медицинский ФСП ЛП-001553,115.38,,,м3
АЛТАЙСТРОЙДЕТАЛЬ,Особо чистые газы,"Кислород особой чистоты 99,99%",2000.0,,,баллон
АЛТАЙСТРОЙДЕТАЛЬ,Газовые смеси пищевые,Азот / Двуокись углерода,183.33,,,м3
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,Кислород жидкий технический ГОСТ 6331-78,,,,
АЛТАЙСТРОЙДЕТАЛЬ,Медицинские газы,Кислород жидкий медицинский ФСП ЛП-001553,,,,
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,"Двуокись углерода ГОСТ 8050-85, высший сорт",48.0,,,кг
АЛТАЙСТРОЙДЕТАЛЬ,Медицинские газы,Жидкий азот,80.0,,,кг
АЛТАЙСТРОЙДЕТАЛЬ,Особо чистые газы,"Азот газообразный особой чистоты (99,999%)",,,,
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,Азот газообразный технический ГОСТ 9293-74,58.33,,,м3
АЛТАЙСТРОЙДЕТАЛЬ,Особо чистые газы,"Аргон газообразный особо чистый (99,999%)",,,,
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,Азот жидкий технический ГОСТ 9293-74,80.0,,,кг
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,Пропан-бутановая смесь,85.0,,,кг
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,"Аргон газообразный ГОСТ 10157-2016, высший сорт (>99,993%)",1400.0,,,баллон
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,Аргон жидкий ГОСТ 10157-2016,,,,
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,Ацетилен марки Б,1588.0,,,кг
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,"Гелий марки А (99,995%) ТУ 0271-135-31323949-2005",19000.0,,,баллон
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,"Гелий марки Б (99,99%) ТУ 0271-135-31323949-2005",,,,
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,Газовые смеси сварочные,1350.0,,,баллон
АЛТАЙСТРОЙДЕТАЛЬ,Технические газы,Сухой лед,160.0,,,кг
КЕСТО,Конструкционное склеивание,Kesto Masa Pro,,,0.6,литр
КЕСТО,Ламинация плит полимерными пленками,AKVAPUR SM 3000,,,,
КЕСТО,Деревообрабатывающая промышленность,Kestopur 1C 10H,,,[1000.0],кг
КЕСТО,Ламинация картона полимерными пленками,Sitol 2189-R,,,"[15.0, 30.0, 50.0, 1000.0]",кг
КЕСТО,Ламинация картона полимерными пленками,Sitol 5012/43,,,"[15.0, 50.0, 1000.0]",кг
КЕСТО,Вклейка окошек,Sitol 2085-R,,,"[15.0, 30.0, 50.0, 1000.0]",кг
КЕСТО,Ламинация картона полимерными пленками,Sitol 1100 R,,,"[15.0, 50.0, 1000.0]",кг
КЕСТО,Ламинация картона полимерными пленками,Sitol 2390-R,,,"[15.0, 30.0, 50.0, 1000.0]",кг
КЕСТО,Ламинация картона полимерными пленками,Sitol 2185-R,,,"[15.0, 30.0, 50.0, 1000.0]",кг
КЕСТО,Ламинация картона полимерными пленками,Sitol 7000-R,,,"[15.0, 30.0, 1000.0]",кг
КЕСТО,Каширование,Kestomer VPH-R,,,"[15.0, 30.0, 50.0, 1000.0]",кг
КЕСТО,Каширование,Kestomer VPV/S-R,,,"[50.0, 1000.0]",кг
КЕСТО,Каширование,Sitol 4173-R,,,"[15.0, 30.0, 50.0, 1000.0]",кг
КЕСТО,Каширование,Sitol 4181,,,"[15.0, 50.0, 1000.0]",кг
КЕСТО,Каширование,Sitol 4173/HV-R,,,"[15.0, 50.0, 1000.0]",кг
КЕСТО,Каширование,Sitol-4170-R,,,"[15.0, 50.0]",кг
КЕСТО,Каширование,Kestomer VPV-R,,,"[15.0, 30.0, 50.0, 1000.0]",кг
КЕСТО,Дополнительные средства для ухода за плиткой и швами,Kesto Seal,,,"[0.0, 5.0]",
КЕСТО,Производство сэндвич-панелей для автофургонов и спецтехники,Kestopur 200/S,,,,
КЕСТО,Гибридные герметики,Kesto Masa,,,0.31,литр
КЕСТО,Производство промышленных фильтров,Kestopur 600/3,,,"[24.0, 1000.0]",
КЕСТО,Производство промышленных фильтров,Kestopur 600/15,,,"[5.0, 10.0, 300.0]",литр
КЕСТО,Производство промышленных фильтров,Kestopur 600/6,,,[300.0],кг
КЕСТО,Клеи паркетные и специальные,Kesto 2 Plus,,,"[1.0, 4.0, 4.0, 13.0, 18.0, 1.0, 4.0, 4.0, 13.0, 18.0]",
КЕСТО,Клеи паркетные и специальные,Kesto LVT Plus,,,"[4.0, 13.0, 4.0, 13.0]",кг
